Country ,Broad money (% of GDP) 2012,Broad money (% of GDP) 2013,Broad money (% of GDP) 2014,Broad money (% of GDP) 2015,Broad money (% of GDP) 2016,Broad money (% of GDP) 2017,Broad money (% of GDP) 2018,Broad money (% of GDP) 2019,Broad money (% of GDP) 2020,Broad money (% of GDP) 2021,Broad money (% of GDP) 2022,Broad money (% of GDP) 2023
Sub-Saharan Africa,37.21528553,35.41894998,34.47565558,35.82821636,37.16064124,36.56809784,37.04200345,37.75422996,41.09770599,41.09903498,40.04601548,
Small states,67.27377748,68.64097922,70.66612635,74.07271678,,,,,,,,
Sao Tome and Principe,40.63630673,42.4708391,45.57390602,49.10474736,41.51261208,38.2257805,38.72270781,33.40611323,32.94976822,29.94943665,28.15740399,24.43512263
Suriname,49.45736963,53.16170971,55.0448542,60.74014048,78.36464279,65.44551916,64.36877363,63.93775914,84.91623232,77.27962287,74.16665342,65.41056368
Slovak Republic,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,
Sweden,65.40341392,66.46302202,66.46739913,66.39603757,69.46327871,73.4482502,72.9210061,74.32655937,88.02267208,89.3220267,85.47670323,79.74842605
Eswatini,24.0733173,26.24737105,25.23026848,26.74174686,30.64992882,29.3205739,29.25447423,27.66217664,31.3588985,30.35986271,28.67972972,
Sint Maarten (Dutch part),,,,,,,,,,,,
Seychelles,49.71317544,58.48964732,66.85773415,63.82782067,65.32795937,69.4844936,68.94964495,74.19906177,101.6315012,93.35838594,80.46379246,83.24176014
Syrian Arab Republic,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,
Chad,12.42087039,13.31894076,15.65673779,15.86419524,15.84289773,15.61372092,14.61788672,16.88980771,21.33882177,22.89388171,,
East Asia & Pacific (IDA & IBRD countries),158.7999538,165.7089276,170.8360007,181.6236359,185.6327204,180.6266605,176.4380998,178.2415541,193.3961046,188.6450877,198.0605898,210.5477128
Europe & Central Asia (IDA & IBRD countries),47.6876738,50.27284242,51.77452649,55.3470476,55.93682488,55.30997995,54.89946952,55.69364777,64.60488721,,,
Togo,31.57977674,34.31999057,33.50585238,37.54284816,39.9053406,42.56444627,44.20758682,44.03748141,47.26575437,48.8650457,51.17522507,50.00689075
Thailand,121.1165476,124.3692257,127.0495523,127.7306039,125.3963428,124.0447401,122.8194084,123.3986339,146.5935288,148.6329941,143.8264994,142.1808031
Tajikistan,19.61305237,21.09767948,20.20705522,21.16544797,26.99057738,27.96288038,26.66040356,28.00505186,31.26897883,28.09770155,22.2140171,30.23789927
Turkmenistan,,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),55.46813825,56.32756133,58.25598296,59.29082928,62.51877609,62.51845244,62.1114687,63.28205056,72.91476,68.77373042,67.53497501,70.50606151
Timor-Leste,35.06486228,35.83467143,41.43747583,40.38636987,44.73598516,51.9217121,54.53681232,38.78199969,40.31811463,30.85819265,37.86175316,59.98992435
Middle East & North Africa (IDA & IBRD countries),64.29590371,66.60136457,73.26910893,82.77417881,90.73533331,,,73.58236432,89.35155567,82.70369557,81.2046824,81.81871767
Tonga,43.208871,45.42718898,48.48151189,52.95412295,54.88062781,55.13136863,56.33756079,53.63704618,61.63875089,69.59355621,72.30761724,72.25788235
South Asia (IDA & IBRD),71.0801318,72.10898898,72.25246932,72.58548194,69.57684647,69.66838699,69.53141021,72.08101699,81.4632729,77.07262842,,
Sub-Saharan Africa (IDA & IBRD countries),37.21528553,35.41894998,34.47565558,35.82821636,37.16064124,36.56809784,37.04200345,37.75422996,41.09770599,41.09903498,40.04601548,
Trinidad and Tobago,52.68013377,51.66066349,53.8157752,60.10084214,67.30507214,65.09749315,64.52671938,68.76985173,84.21842408,72.65649832,60.36688796,67.2349691
Tunisia,65.76384812,65.27411048,65.30295962,65.42101319,66.61258213,69.66591139,67.374058,68.6809916,77.96170299,77.40352702,79.8350974,79.85219656
Turkiye,49.67066438,52.19255346,51.49283669,52.4415855,55.22271914,53.85432906,53.11713148,58.77277749,67.47809257,71.6054682,55.49577599,53.33149467
Tuvalu,,,,,,,,,,,,
Tanzania,23.50356248,22.07095974,22.53436799,23.43982579,21.11238045,20.81344171,20.01137054,20.27554467,19.74025198,21.28613976,22.11487404,23.36410154
Uganda,17.56104838,17.98668844,18.65996831,18.8439221,19.07484372,19.91860686,19.41712931,20.52305565,22.73137124,22.48809351,22.03039837,21.68160474
Ukraine,52.99162158,59.69790224,60.28852987,49.98943905,46.22769576,40.54905289,35.88558964,36.16392455,43.81799998,38.00064977,47.74894015,47.0674153
Upper middle income,114.1495359,120.4741731,126.9652908,140.8402266,145.8447216,143.3001191,143.2296707,146.0398837,163.8299979,158.9870896,163.3946119,168.2008433
Uruguay,40.16449946,41.97292944,44.01859484,49.42991068,46.71193108,44.27518764,45.97603961,48.78338519,59.00650509,58.73147777,52.88358022,51.62379537
United States,87.91685242,88.46316813,89.20015889,88.54950195,89.46471519,89.90179205,88.79648412,92.30055941,109.1174172,114.9809344,103.8161168,99.12791711
Uzbekistan,,19.174792,18.21130835,19.10493727,20.4467509,20.54213221,17.6427857,16.00359424,16.76732091,17.7023886,18.99258677,17.79003587
St. Vincent and the Grenadines,66.9747522,68.24453634,73.59256213,75.13212789,73.93637827,72.32668249,69.8868955,71.52351661,70.03610814,78.70577691,71.15847431,66.95003865
"Venezuela, RB",45.73080514,52.89749361,,,,,,,,,,
British Virgin Islands,,,,,,,,,,,,
Virgin Islands (U.S.),,,,,,,,,,,,
Viet Nam,84.8164707,93.76270429,101.7339902,111.1746598,120.6402938,123.505309,124.9869864,129.1476728,140.6036802,146.1579513,137.292054,
Vanuatu,82.17658483,75.00452578,77.88610156,81.67583028,84.96240924,82.8975859,88.27404787,88.50856117,90.12834638,98.97910643,93.70882133,87.26167669
World,110.8718789,111.3569531,113.8030367,118.7579799,122.7388891,120.9602903,121.2658051,123.8604801,141.2818694,142.0640363,139.1790611,138.3555173
Samoa,39.47021175,40.98681198,44.25610435,43.46745793,42.97529548,48.67529841,52.68517902,52.00078759,55.88008006,61.39968436,65.88031862,63.44389115
Kosovo,42.41822583,47.01664746,43.0230028,42.78645818,43.78775878,44.23249387,45.53432384,48.46418711,58.2354873,55.49218159,55.43903799,56.69177188
"Yemen, Rep.",34.96871132,34.74093667,,,,,,,,,,
South Africa,66.5502676,64.98076343,65.23814256,67.30187928,66.31202208,66.14476649,66.13685619,66.90916486,74.03882567,69.99466047,71.06639907,72.45183758
Zambia,19.57691459,20.51279242,20.92697941,25.77264533,20.62356849,21.96324817,22.89349379,23.59809649,31.20596202,24.33118285,27.12712064,29.94854282
Zimbabwe,21.72807383,20.36548291,22.4519857,23.72444205,27.43865562,12.21125818,14.37926159,16.50443281,14.87152689,14.90190815,18.81817922,14.14667669
