Country ,Broad money (% of GDP) 2012,Broad money (% of GDP) 2013,Broad money (% of GDP) 2014,Broad money (% of GDP) 2015,Broad money (% of GDP) 2016,Broad money (% of GDP) 2017,Broad money (% of GDP) 2018,Broad money (% of GDP) 2019,Broad money (% of GDP) 2020,Broad money (% of GDP) 2021,Broad money (% of GDP) 2022,Broad money (% of GDP) 2023
Comoros,22.46175186,21.73335363,22.81784352,26.55779264,27.86360778,27.21754552,27.97222496,27.93600821,31.39050696,36.4193927,36.31952252,37.46943902
Cabo Verde,74.73077842,81.57438542,87.12217418,90.23554359,92.21303301,92.73388166,89.14682508,89.77361679,117.2079775,111.3283355,95.61284583,92.8135051
Costa Rica,49.36862583,50.48296107,52.45680666,50.64437399,49.13839072,46.57546358,45.37335505,44.93829345,54.8657927,54.00707015,47.45879626,47.43786752
Caribbean small states,67.60324971,69.4284252,69.80247118,70.72869898,74.70421728,71.97806228,71.32125319,71.41406823,86.73121661,79.46089158,65.51695755,59.49493241
Cuba,,,,,,,,,,,,
Curacao,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,
Czechia,72.16042887,75.42594635,76.07758901,77.29220844,79.08674941,81.6105669,82.06452313,81.15977788,90.16740336,88.9538671,84.44963256,85.74970299
Germany,,,,,,,,,,,,
Djibouti,85.70354737,60.72887112,59.65038393,64.85740205,65.6530205,75.47630163,67.57238416,69.33198989,80.26565862,79.50700674,72.02732496,69.52836727
Dominica,96.14722091,96.6272358,97.11552825,96.75922438,96.35304855,124.7715152,119.1374739,95.34225782,102.037038,94.35205049,85.20372203,78.74654362
Denmark,63.97710887,56.70357505,63.23993969,67.79790118,60.77819126,61.34428607,60.76765518,62.61959403,68.10244054,61.0661007,60.54116541,64.348869
Dominican Republic,33.35603828,34.0103478,33.27673239,34.04849616,34.35102694,34.56120526,33.08592854,34.30346394,42.75415647,40.17507875,36.53287227,38.39292407
Algeria,62.54402455,65.50098547,70.96747933,72.59120329,69.83807103,71.0633952,73.34167761,71.50547166,84.87178893,79.82603177,71.6469589,72.33077372
East Asia & Pacific (excluding high income),158.7999538,165.7089276,170.8360007,181.6236359,185.6327204,180.6266605,176.4380998,178.2415541,193.3961046,188.6450877,198.0605898,210.5477128
Early-demographic dividend,52.33914267,53.7872021,55.88457163,58.75383211,60.13672008,58.10238024,57.38191263,59.06501691,69.31678172,67.02597196,,
East Asia & Pacific,175.5648195,176.5357724,179.6154745,185.8590589,191.9884218,188.751476,186.0533576,189.6777535,207.7060488,203.3715544,208.0810802,215.0560763
Europe & Central Asia (excluding high income),45.76440767,46.57832869,45.95429993,47.48139661,49.59178591,47.66631091,46.02259501,48.40402453,55.40260355,56.19684943,48.72241555,47.83545978
Europe & Central Asia,,,,,,,,,,,,
Ecuador,37.58496136,38.91199051,42.04895282,42.28705736,49.59267389,37.08841804,37.73507854,41.03189303,50.63875087,50.88096489,51.632448,53.29288423
"Egypt, Arab Rep.",69.71545906,74.61183576,75.44264838,77.98587789,98.13613237,87.60246787,77.76522119,73.45453034,79.97472493,87.38649407,94.39260975,87.40059898
Euro area,,,,,,,,,,,,
Eritrea,127.475597,135.9624996,176.7889186,,,,,,,,,
Spain,,,,,,,,,,,,
Estonia,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,
European Union,,,,,,,,,,,,
Fragile and conflict affected situations,40.46100602,43.1385893,39.9463495,42.52829685,48.47602922,46.73799742,35.48193174,36.75360908,45.52136559,35.44837683,35.09895603,
Finland,,,,,,,,,,,,
Fiji,67.65288434,74.1727542,68.91972939,73.28703054,73.42745545,74.06763964,72.07519215,73.66110627,91.01574942,109.3630792,93.63963245,90.983014
France,,,,,,,,,,,,
Faroe Islands,,,,,,,,,,,,
"Micronesia, Fed. Sts.",41.19405211,45.95472337,60.88428897,56.32817983,66.94246154,67.11114206,62.89387755,63.20786802,77.40833333,85.22205128,,
